t,x,y,yaw,steer,l,r
33.58,-1.001,-22.761,1.5639,0,0,0
33.68,1.294,-22.809,-0.0069,0,0,0
33.78,-1.001,-22.761,1.5639,0,0,0
33.89,-1.001,-22.761,1.5639,0,0,0
33.99,1.294,-22.809,-0.0069,0,0,0
34.1,-1.001,-22.761,1.5639,0,0,0
34.21,-1.001,-22.761,1.5639,0,0,0
34.31,-1.001,-22.761,1.5639,0,0,0
34.41,-1.001,-22.761,1.5639,0,0,0
34.51,1.294,-22.809,-0.0069,0,0,0
34.62,-1.001,-22.761,1.5639,0,0,0
34.73,-1.001,-22.761,1.5639,0,0,0
34.84,-1.001,-22.761,1.5639,0,0,0
34.94,-1.001,-22.761,1.5639,0,0,0
35.04,-1.001,-22.761,1.5639,0,0,0
35.14,-1.001,-22.761,1.5639,0,0,0
35.24,-1.001,-22.761,1.5639,0,0,0
35.34,-1.001,-22.761,1.5639,0,0,0
35.44,-1.001,-22.761,1.5639,0,0,0
35.55,-1.001,-22.761,1.5639,0,0,0
35.65,-1.001,-22.761,1.5639,0,0,0
35.76,-1.001,-22.761,1.5639,0,0,0
35.87,-1.001,-22.761,1.5639,0,0,0
35.97,-1.001,-22.761,1.5639,0,0,0
36.07,-1.001,-22.761,1.5639,0,0,0
36.18,-1.001,-22.761,1.5639,0,0,0
36.29,1.294,-22.809,-0.0069,0,0,0
36.39,1.294,-22.809,-0.0069,0,0,0
36.5,-1.001,-22.761,1.5639,0,0,0
36.61,-1.001,-22.761,1.5639,0,0,0
36.71,-1.001,-22.761,1.5639,0,0,0
36.82,-1.001,-22.761,1.5639,0,0,0
36.92,-1.001,-22.761,1.5639,0,0,0
37.03,-1.001,-22.761,1.5639,0,0,0
37.13,-1.001,-22.761,1.5639,0,0,0
37.24,-1.001,-22.761,1.5639,0,0,0
37.34,-1.001,-22.761,1.5639,0,0,0
37.45,-1.001,-22.761,1.5639,0,0,0
37.55,1.294,-22.809,-0.0069,0,0,0
37.65,-1.001,-22.761,1.5639,0,0,0
37.76,1.294,-22.809,-0.0069,0,0,0
37.86,-1.001,-22.761,1.5639,0,0,0
37.96,1.294,-22.809,-0.0069,0,0,0
38.06,1.294,-22.809,-0.0069,0,0,0
38.17,1.294,-22.809,-0.0069,0,0,0
38.27,1.294,-22.809,-0.0069,0,0,0
38.37,-1.001,-22.761,1.5639,0,0,0
38.47,-1.001,-22.761,1.5639,0,0,0
38.57,-1.001,-22.761,1.5639,0,0,0
38.68,1.294,-22.809,-0.0069,0,0,0
38.79,-1.001,-22.761,1.5639,0,0,0
38.9,-1.001,-22.761,1.5639,0,0,0
39.0,-1.001,-22.761,1.5639,0,0,0
39.1,-1.001,-22.761,1.5639,0,0,0
39.21,-1.001,-22.761,1.5639,0,0,0
39.31,-1.001,-22.761,1.5639,0,0,0
39.41,-1.001,-22.761,1.5639,0,0,0
39.52,-1.001,-22.761,1.5639,0,0,0
39.62,-1.001,-22.761,1.5639,0,0,0
39.73,-1.001,-22.761,1.5639,0,0,0
39.83,-1.001,-22.761,1.5639,0,0,0
39.94,-1.001,-22.761,1.5639,0,0,0
40.05,-1.001,-22.761,1.5639,0,0,0
40.15,-1.001,-22.761,1.5639,0,0,0
40.25,-1.001,-22.761,1.5639,0,0,0
40.36,-1.001,-22.761,1.5639,0,0,0
40.46,-1.001,-22.761,1.5639,0,0,0
40.56,1.294,-22.809,-0.0069,0,0,0
40.67,1.294,-22.809,-0.0069,0,0,0
40.77,-1.001,-22.761,1.5639,0,0,0
40.88,-1.001,-22.761,1.5639,0,0,0
40.98,-1.001,-22.761,1.5639,0,0,0
41.08,1.294,-22.809,-0.0069,0,0,0
41.19,1.294,-22.809,-0.0069,0,0,0
41.29,-1.001,-22.761,1.5639,0,0,0
41.39,-1.001,-22.761,1.5639,0,0,0
41.49,-1.001,-22.761,1.5639,0,0,0
41.6,1.294,-22.809,-0.0069,0,0,0
41.7,1.294,-22.809,-0.0069,0,0,0
41.81,-1.001,-22.761,1.5639,0,0,0
41.91,-1.001,-22.761,1.5639,0,0,0
42.01,-1.001,-22.761,1.5639,0,0,0
42.11,1.294,-22.809,-0.0069,0,0,0
42.22,1.294,-22.809,-0.0069,0,0,0
42.32,1.294,-22.809,-0.0069,0,0,0
42.42,-1.001,-22.761,1.5639,0,0,0
42.52,1.294,-22.809,-0.0069,0,0,0
42.62,1.294,-22.809,-0.0069,0,0,0
42.73,1.294,-22.809,-0.0069,0,0,0
42.83,-1.001,-22.761,1.5639,0,0,0
42.93,-1.001,-22.761,1.5639,0,0,0
43.03,1.294,-22.809,-0.0069,0,0,0
43.14,1.294,-22.809,-0.0069,0,0,0
43.25,-1.001,-22.761,1.5639,0,0,0
43.35,-1.001,-22.761,1.5639,0,0,0
43.46,-1.001,-22.761,1.5639,0,0,0
43.57,-1.001,-22.761,1.5639,0,0,0
43.67,-1.001,-22.761,1.5639,0,0,0
43.78,-1.001,-22.761,1.5639,0,0,0
43.89,-1.001,-22.761,1.5639,0,0,0
43.99,-1.001,-22.761,1.5639,0,0,0
44.1,1.294,-22.809,-0.0069,0,0,0
44.2,-1.001,-22.761,1.5639,0,0,0
44.3,1.294,-22.809,-0.0069,0,0,0
44.41,-1.001,-22.761,1.5639,0,0,0
44.51,1.294,-22.809,-0.0069,0,0,0
44.61,1.294,-22.809,-0.0069,0,0,0
44.71,-1.001,-22.761,1.5639,0,0,0
44.82,-1.001,-22.761,1.5639,0,0,0
44.92,-1.001,-22.761,1.5639,0,0,0
45.02,1.294,-22.809,-0.0069,0,0,0
45.12,1.294,-22.809,-0.0069,0,0,0
45.23,-1.001,-22.761,1.5639,0,0,0
45.33,-1.001,-22.761,1.5639,0,0,0
45.44,1.294,-22.809,-0.0069,0,0,0
45.54,-1.001,-22.761,1.5639,0,0,0
45.64,-1.001,-22.761,1.5639,0,0,0
45.74,-1.001,-22.761,1.5639,0,0,0
45.84,1.294,-22.809,-0.0069,0,0,0
45.94,1.294,-22.809,-0.0069,0,0,0
46.05,1.294,-22.809,-0.0069,0,0,0
46.15,1.294,-22.809,-0.0069,0,0,0
46.25,-1.001,-22.761,1.5639,0,0,0
46.35,-1.001,-22.761,1.5639,0,0,0
